date,load
,MW
2018-07-29,1757449
2018-07-30,1926984
2018-07-31,1932660
2018-08-01,1956765
2018-08-02,1992890
2018-08-03,2057939
2018-08-04,2006636
2018-08-05,2062273
2018-08-06,2189490
2018-08-07,2115042
2018-08-08,2132378
2018-08-09,2144986
2018-08-10,2114901
2018-08-11,1987399
2018-08-12,1984219
2018-08-13,2175296
2018-08-14,2184636
2018-08-15,2154517
2018-08-16,2165517
2018-08-17,2092341
2018-08-18,1956242
2018-08-19,1913895
2018-08-20,2033962
2018-08-21,1980765
2018-08-22,1897223
2018-08-23,1887521
2018-08-24,1858189
2018-08-25,1891527
2018-08-26,2021936
2018-08-27,2247011
2018-08-28,2202797
2018-08-29,1994227
2018-08-30,1911643
2018-08-31,1953027
2018-09-01,1911241
2018-09-02,1898277
2018-09-03,1938799
2018-09-04,2171999
2018-09-05,2158854
2018-09-06,1979832
2018-09-07,1861513
2018-09-08,1674876
2018-09-09,1585601
2018-09-10,1733439
2018-09-11,1795478
2018-09-12,1855379
2018-09-13,1925559
2018-09-14,2012626
2018-09-15,1975958
2018-09-16,1963097
2018-09-17,2121132
2018-09-18,2061210
2018-09-19,2013098
2018-09-20,2046723
2018-09-21,1930922
2018-09-22,1583077
2018-09-23,1555564
2018-09-24,1760199
2018-09-25,1851779
2018-09-26,1720855
2018-09-27,1660952
2018-09-28,1642286
2018-09-29,1540774
2018-09-30,1545140
2018-10-01,1739016
2018-10-02,1809495
2018-10-03,1883559
2018-10-04,1822296
2018-10-05,1777733
2018-10-06,1695710
2018-10-07,1643720
2018-10-08,1846727
2018-10-09,1900297
2018-10-10,1817005
2018-10-11,1653836
2018-10-12,1630553
2018-10-13,1543785
2018-10-14,1551114
2018-10-15,1684480
2018-10-16,1682931
2018-10-17,1650558
2018-10-18,1648485
2018-10-19,1638277
2018-10-20,1527449
2018-10-21,1494591
2018-10-22,1616248
2018-10-23,1618653
2018-10-24,1634713
2018-10-25,1646162
2018-10-26,1611918
2018-10-27,1507483
2018-10-28,1482123
2018-10-29,1639705
2018-10-30,1653977
2018-10-31,1637546
2018-11-01,1652394
2018-11-02,1632309
2018-11-03,1534141
2018-11-04,1553573
2018-11-05,1637267
2018-11-06,1666053
2018-11-07,1704832
2018-11-08,1737034
2018-11-09,1759133
2018-11-10,1737151
2018-11-11,1658076
2018-11-12,1796836
2018-11-13,1921997
2018-11-14,1959961
2018-11-15,1904204
2018-11-16,1815775
2018-11-17,1678661
2018-11-18,1637580
2018-11-19,1778009
2018-11-20,1815180
2018-11-21,1807892
2018-11-22,1573613
2018-11-23,1556850
2018-11-24,1516425
2018-11-25,1564416
2018-11-26,1864114
2018-11-27,1964325
2018-11-28,1934729
2018-11-29,1806234
2018-11-30,1726526
2018-12-01,1628244
2018-12-02,1599772
2018-12-03,1791173
2018-12-04,1869013
2018-12-05,1895448
2018-12-06,1911529
2018-12-07,1887334
2018-12-08,1829652
2018-12-09,1824278
2018-12-10,1963403
2018-12-11,1942433
2018-12-12,1855036
2018-12-13,1784788
2018-12-14,1755508
2018-12-15,1696563
2018-12-16,1644238
2018-12-17,1800541
2018-12-18,1819199
2018-12-19,1787831
2018-12-20,1781564
